A9,Category,Count
0,0,141
0,1,118
0,,
1,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
1,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
1,,
0,,
0,,
1,,
0,,
1,,
1,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
1,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
1,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
1,,
0,,
0,,
0,,
