A6,Category,Count
4,1,20
4,2,2
4,3,4
3,4,146
4,5,25
8,6,0
4,7,2
8,8,56
8,9,4
8,,
8,,
8,,
8,,
8,,
4,,
4,,
4,,
4,,
4,,
4,,
4,,
4,,
4,,
4,,
4,,
8,,
4,,
8,,
4,,
4,,
8,,
8,,
8,,
8,,
4,,
1,,
4,,
4,,
4,,
4,,
4,,
4,,
8,,
4,,
4,,
4,,
4,,
4,,
8,,
4,,
4,,
8,,
4,,
4,,
8,,
4,,
5,,
8,,
4,,
4,,
5,,
4,,
4,,
5,,
8,,
8,,
4,,
4,,
1,,
8,,
1,,
8,,
4,,
5,,
9,,
4,,
8,,
4,,
4,,
4,,
4,,
1,,
4,,
5,,
4,,
4,,
8,,
5,,
4,,
1,,
8,,
4,,
4,,
5,,
8,,
4,,
4,,
4,,
4,,
4,,
4,,
4,,
4,,
4,,
1,,
8,,
8,,
4,,
8,,
4,,
4,,
4,,
8,,
4,,
5,,
5,,
8,,
4,,
4,,
8,,
4,,
4,,
1,,
4,,
8,,
4,,
4,,
4,,
3,,
4,,
4,,
2,,
1,,
4,,
1,,
4,,
1,,
4,,
4,,
4,,
8,,
1,,
1,,
8,,
4,,
9,,
9,,
4,,
5,,
5,,
4,,
4,,
4,,
4,,
4,,
5,,
7,,
4,,
4,,
5,,
4,,
4,,
4,,
5,,
5,,
4,,
1,,
4,,
4,,
4,,
4,,
4,,
4,,
8,,
4,,
8,,
1,,
1,,
8,,
8,,
4,,
5,,
4,,
4,,
4,,
8,,
5,,
4,,
4,,
3,,
4,,
4,,
5,,
4,,
8,,
4,,
4,,
4,,
1,,
4,,
8,,
3,,
8,,
8,,
8,,
4,,
4,,
4,,
8,,
4,,
4,,
8,,
4,,
4,,
1,,
8,,
4,,
5,,
4,,
4,,
5,,
4,,
4,,
4,,
5,,
4,,
5,,
2,,
8,,
8,,
4,,
4,,
8,,
4,,
1,,
8,,
5,,
1,,
4,,
4,,
9,,
4,,
5,,
4,,
8,,
4,,
4,,
1,,
8,,
5,,
4,,
4,,
7,,
4,,
8,,
4,,
4,,
4,,
4,,
