A8,Category,Count
0,0,125
0,1,134
0,,
1,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
1,,
0,,
1,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
1,,
1,,
0,,
0,,
1,,
1,,
1,,
1,,
1,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
0,,
0,,
1,,
0,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
1,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
0,,
1,,
1,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
1,,
0,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
0,,
1,,
0,,
