A7,value
1.585,158.5
0.165,16.5
1.25,125
0,0
1.96,196
1.5,150
0.125,12.5
3.04,304
3,300
6.75,675
4.5,450
5,500
1.375,137.5
7.5,750
2.415,241.5
0.04,4
7.5,750
0.75,75
0.125,12.5
2.585,258.5
0.04,4
0.585,58.5
0.165,16.5
0.21,21
0.79,79
5.5,550
0.125,12.5
2.04,204
2,200
1.085,108.5
4.25,425
0,0
9.46,946
2.125,212.5
13.875,1387.5
0.04,4
3,300
8.625,862.5
7.875,787.5
13.875,1387.5
0.085,8.5
0.54,54
1.25,125
0.585,58.5
0.04,4
0.71,71
0.165,16.5
0.04,4
2,200
5.5,550
0.5,50
0.04,4
0.085,8.5
2.335,233.5
5.085,508.5
2,200
3.5,350
0.21,21
3.165,316.5
1.25,125
2.25,225
0.25,25
1.5,150
0.5,50
1.5,150
7.96,796
0.04,4
0.5,50
0,0
1.835,183.5
0,0
0.04,4
1.75,175
1.5,150
20,2000
3.5,350
3.5,350
0.165,16.5
1,100
1.085,108.5
0.625,62.5
0,0
0.415,41.5
0.21,21
0.5,50
0,0
1.5,150
5.165,516.5
0.085,8.5
0,0
0.25,25
0.04,4
0.125,12.5
2.5,250
0.165,16.5
1.5,150
0.25,25
0.04,4
1.75,175
1.585,158.5
3,300
0.085,8.5
5.75,575
0.25,25
0,0
1.04,104
1,100
0.085,8.5
8.5,850
1.25,125
0.125,12.5
1,100
5.75,575
0.75,75
4,400
0.04,4
0.335,33.5
0.75,75
2.5,250
12.5,1250
5,500
2,200
0,0
5.5,550
0.625,62.5
0.29,29
4,400
0.29,29
0,0
1.085,108.5
1.5,150
1,100
0,0
0.085,8.5
0,0
0.125,12.5
0,0
6.5,650
1.46,146
2.375,237.5
0.835,83.5
3.25,325
0,0
17.5,1750
0.25,25
0,0
12.75,1275
0.085,8.5
12.5,1250
6.5,650
0,0
2.5,250
1,100
0.165,16.5
6.29,629
0,0
0.21,21
0.04,4
3.085,308.5
0.085,8.5
1,100
0.54,54
0.375,37.5
8.5,850
1,100
0.25,25
0.085,8.5
2.46,246
0.04,4
0.125,12.5
2,200
1,100
1.585,158.5
5,500
8.5,850
3.75,375
5,500
0,0
7,700
12.75,1275
0.25,25
1,100
1.21,121
5.5,550
0.835,83.5
2.25,225
5,500
0.125,12.5
0.25,25
0,0
0.04,4
5.04,504
0.5,50
0,0
0.085,8.5
2.5,250
2.71,271
0.335,33.5
0,0
1.75,175
1,100
0,0
6.5,650
2.75,275
1.835,183.5
1.25,125
0.29,29
0.165,16.5
0.25,25
0.5,50
0.54,54
3.96,396
1.5,150
2.25,225
0,0
1.625,162.5
1.5,150
5,500
0.29,29
4.625,462.5
4,400
0.5,50
0.29,29
2,200
0.75,75
0.5,50
7,700
0,0
14,1400
2.29,229
0.165,16.5
2.25,225
10,1000
28.5,2850
0,0
0.75,75
4.5,450
0,0
1.5,150
16,1600
0,0
4.5,450
7.585,758.5
0.54,54
0.5,50
0.165,16.5
1,100
18,1800
4.165,416.5
3.5,350
0.25,25
0.04,4
5.375,537.5
1.165,116.5
1.75,175
2.25,225
1.5,150
0.125,12.5
0.5,50
