A15,Category,Count
0,0,142
0,1,117
0,,
1,,
1,,
1,,
0,,
1,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
1,,
1,,
1,,
0,,
1,,
0,,
0,,
1,,
0,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
0,,
0,,
1,,
0,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
0,,
1,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
1,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
1,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
1,,
0,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
