A14,value
1213,1213
1,1
1,1
1,1
159,159
1,1
101,101
561,561
538,538
51,51
858,858
1,1
211,211
1001,1001
1,1
2691,2691
1,1
592,592
5,5
3258,3258
1005,1005
1,1
1,1
1,1
351,351
1,1
71,71
18028,18028
20,20
2185,2185
151,151
33,33
101,101
285,285
113,113
352,352
1,1
1,1
1261,1261
1705,1705
1,1
68,68
5299,5299
1,1
7,7
1,1
1,1
1,1
18,18
2201,2201
1,1
101,101
2101,2101
7,7
2,2
36,36
501,501
247,247
1443,1443
1,1
1,1
5,5
301,301
1,1
825,825
1,1
1,1
69,69
147,147
714,714
1,1
34,34
1,1
8,8
1201,1201
51,51
1,1
1,1
1,1
2080,2080
7060,7060
201,201
43,43
1,1
1,1
1,1
2,2
1,1
7,7
1,1
1,1
101,101
287,287
368,368
1,1
9,9
391,391
1,1
11,11
1,1
1,1
1,1
501,501
501,501
2,2
5861,5861
7545,7545
1,1
1,1
1,1
1,1
229,229
1,1
1584,1584
1,1
2001,2001
51,51
4072,4072
810,810
1656,1656
3066,3066
1,1
1,1
3001,3001
1,1
284,284
1603,1603
141,141
961,961
2,2
568,568
1,1
1,1
1,1
2,2
1,1
770,770
4608,4608
1,1
4160,4160
1,1
1,1
2,2
1001,1001
99,99
3377,3377
110,110
1,1
1,1
51101,51101
1,1
1,1
1,1
2,2
11203,11203
2,2
41,41
6,6
1,1
1,1
17,17
1,1
163,163
1,1
201,201
1,1
4209,4209
1,1
751,751
376,376
1,1
501,501
10,10
1,1
1,1
1,1
5,5
28,28
1,1
1,1
196,196
1,1
259,259
1,1
301,301
1,1
1,1
1,1
1,1
54,54
41,41
1,1
1,1
1,1
1,1
1209,1209
26727,26727
9,9
127,127
1,1
1466,1466
1,1
31286,31286
2,2
501,501
1,1
185,185
19,19
109,109
1,1
501,501
315,315
1,1
6,6
61,61
1,1
1,1
688,688
365,365
2001,2001
3066,3066
1,1
5125,5125
69,69
1,1
1,1
2,2
1,1
2001,2001
2385,2385
7,7
4,4
1,1
16,16
101,101
322,322
457,457
1,1
1,1
1,1
13213,13213
1271,1271
5001,5001
341,341
1,1
36,36
2,2
1001,1001
1,1
1,1
1,1
476,476
135,135
1,1
838,838
151,151
1,1
1,1
1,1
