A12,Category,Count
2,1,19
2,2,236
2,3,4
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
1,,
3,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
3,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
1,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
3,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
3,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
2,,
1,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
