A11,Category,Count
1,0,138
0,1,121
1,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
1,,
1,,
1,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
1,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
1,,
0,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
1,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
0,,
0,,
1,,
0,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
0,,
1,,
1,,
1,,
1,,
1,,
0,,
0,,
1,,
0,,
0,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
1,,
1,,
1,,
0,,
1,,
1,,
0,,
0,,
1,,
0,,
1,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
0,,
1,,
1,,
1,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
1,,
1,,
1,,
1,,
0,,
1,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
1,,
1,,
0,,
1,,
1,,
0,,
0,,
0,,
0,,
0,,
1,,
0,,
0,,
0,,
1,,
0,,
0,,
1,,
1,,
1,,
1,,
0,,
1,,
1,,
1,,
0,,
0,,
0,,
1,,
1,,
1,,
