A13,value
100,100
160,160
280,280
0,0
60,60
100,100
60,60
43,43
176,176
100,100
253,253
470,470
140,140
0,0
320,320
0,0
330,330
88,88
140,140
129,129
260,260
160,160
168,168
160,160
80,80
0,0
200,200
180,180
220,220
60,60
312,312
154,154
200,200
290,290
352,352
0,0
20,20
70,70
0,0
519,519
0,0
120,120
0,0
180,180
128,128
49,49
132,132
0,0
256,256
0,0
232,232
140,140
216,216
112,112
369,369
434,434
0,0
260,260
52,52
200,200
141,141
240,240
120,120
1160,1160
280,280
0,0
380,380
100,100
176,176
583,583
0,0
0,0
200,200
144,144
0,0
454,454
340,340
216,216
0,0
120,120
0,0
0,0
80,80
550,550
280,280
184,184
280,280
0,0
290,290
100,100
140,140
108,108
0,0
0,0
340,340
150,150
0,0
0,0
0,0
0,0
480,480
280,280
487,487
260,260
45,45
160,160
140,140
0,0
0,0
280,280
160,160
0,0
75,75
0,0
420,420
280,280
80,80
340,340
100,100
181,181
0,0
240,240
76,76
0,0
181,181
420,420
0,0
220,220
100,100
160,160
120,120
260,260
184,184
80,80
130,130
160,160
350,350
240,240
312,312
396,396
140,140
280,280
180,180
0,0
108,108
0,0
0,0
120,120
184,184
375,375
184,184
140,140
600,600
200,200
0,0
500,500
200,200
120,120
80,80
520,520
460,460
0,0
300,300
195,195
0,0
280,280
100,100
164,164
280,280
120,120
368,368
80,80
400,400
112,112
120,120
680,680
0,0
62,62
320,320
92,92
0,0
212,212
140,140
100,100
160,160
340,340
280,280
100,100
300,300
200,200
160,160
168,168
171,171
184,184
180,180
200,200
184,184
160,160
160,160
720,720
50,50
160,160
164,164
360,360
0,0
202,202
140,140
184,184
400,400
130,130
380,380
180,180
60,60
120,120
180,180
0,0
120,120
210,210
280,280
520,520
0,0
0,0
96,96
460,460
560,560
280,280
0,0
0,0
88,88
140,140
100,100
100,100
176,176
0,0
232,232
0,0
200,200
0,0
231,231
110,110
0,0
150,150
0,0
0,0
228,228
240,240
320,320
0,0
181,181
216,216
0,0
120,120
0,0
120,120
29,29
100,100
431,431
225,225
320,320
